reviewId,userName,content,score,at
6ed4ab3e-2981-49e4-97cc-6a5729e3c676,Raudatus Syifa,"Sangat berguna buat masuk ke situs yang susah di akses atau suka error.iklan nya juga gak terasa banyak banget, tiap kali main paling cuman ada 2-3 iklan yang muncul.durasi iklannya juga kerasa wajar,jadi intinya ini tuh aplikasi yang bagus((o(*>ω<*)o))",5,2024-03-20 16:39:28
e1c97b58-99db-4ef1-a859-d245cdad6ef6,Kadek Eka,"Apk sampah jaringannya lemot terus iklan dimana mana, iya dimaklumi kok ada iklan tapi yoo jaringannya astaghh susah banget buat nonton live streaming aja cuma dapat kualitas mentok di 240p itupun kebanyakan mutar"" nya bahkan untuk kualitas 144p aja masih suka loading, dibandingkan dengan apk vpn lainnya yg wow luar biasa di pake nonton banget bisa tembus di 1080p lancar banget gak ada tuh masalah jaringan mutar"", nyesel banget download aplikasi vpn ini, sangat sangat tidak di rekomendasi",1,2024-03-17 20:26:21
e4b9e6bc-c4b6-48e8-a189-014b1110b209,Wira Zizo Gladi,"Kenapa dia gak hilang dari status bar ya?? Mana tulisannya gak enak lagi *Terjadi kesalahan perangkat ketuk untuk menyambung kembali* disuruh nyambung, iklan, matikan, iklan dan balik lihat status bar masih aja suruh nyambung lagi dan iklannya rajin banget, untuk keuntungan pembikinnya.",1,2024-02-24 18:21:40
56a0ddfd-888f-4d81-9853-9b25ee0d27d7,Jaja Subagja,Bintang5pasti dong selama Saya menggunakan VPN turbo Sangat memuaskan recommended banget buat kalian2 yang butuh aplikasi VPN ya VPN turbo best lah dan sampai skrg msh terbaik mudah dan ga sulit terus jaga dan tingkatkan pengalaman sampai skrng makin baik coba kalian buktikan lalu bedakan dngn yg lain,5,2024-03-20 01:37:41
eb757111-0478-43f8-9bc8-6c1625133d3e,TIm Balu,"Masalah nya suka putus2 sendiri VPN nya..!!20 menit jalan bagus, tiba2 minta ganti lokasi lagi. Harus di ganti lagi lokasi atau perbaiki. Jadi untuk sementara Saya kasih 1 bintang saja dulu, nanti kalau sudah tidak lagi seperti begitu, baru Saya kasih 5 bintang..!!",1,2024-03-04 06:43:44
6eacf8f9-5162-400c-ba55-18f98893d6b3,Ari Anta,"Maff saya buang bintang nya.. Dan harus saya delete .. Karna sanga membuat saya kesal... Tiba2 koneksi nya di non aktif kan.. Kalau setengah membuat apk, lebih baik ga usah buat apk kayak gini... 😡🤬🤬🤬🤬🤬",1,2024-03-03 00:58:10
3dd01b4d-b6e8-4f2e-9076-b5e739c5008d,Chimuts Muts,Bagus bagus sih TPI MSI butuh di agret. Sya brikn 4 bntng dlu soal nya MSI banyak lgi yg harus diperbaiki. Sprti terputus nya koneksi dan msih agak lambat. Iklan trllu banyak.,4,2024-03-02 02:02:20
cc1b67b1-ea8f-4d4d-b668-7ab1c366de7a,Irwan septiawan Theaa,"Sangat membantu membuka link yang d blok. Sukses terus buat apk nya,,sekarang gbsa download d situs,,!! Saya kurangin 1,,nnti klo sudah bsa download lg sya tmbh lg bntangnya. Trims",4,2024-02-25 03:31:38
6c16b9bc-6f0b-4b2f-bb42-47e137de7363,Aska Alhakim,Sangat bagus cocok untuk main game tapi tolong di perbaiki lagi karena kadang putus sendri mohon di perbaiki terimakasih,5,2024-03-20 17:42:09
75185cbe-08b8-4a49-bb4d-4e7aa2eec60b,AJI SANTOSA{31},"Saya berkomentar tentang, vpn ini, sejak saya MTs hingga saat ini vpn ini memang yang terbaik buat ++ juga bisa, dari tahun 2015 an saya pakai ini turbo vpn bagiku ini keren dan jika pengin luas pakai yang premium dan berlangganan, tapi saya memilih tidak😅, walaupun ada uji coba pokoknya keren untuk turbo vpn dan makasih😅",5,2024-01-28 17:24:58
